Date,Open,High,Low,Close,Adj Close,Volume
2022-06-14,157.309998,160.660004,154.119995,158.360001,158.229218,46968000
2022-06-15,160.949997,168.679993,159.259995,165.270004,165.133514,56393600
2022-06-16,158.600006,159.419998,154.009995,156.009995,155.881149,54574900
2022-06-17,156.479996,159.949997,153.279999,158.800003,158.668854,63033400
2022-06-21,164.750000,170.080002,164.070007,165.660004,165.523178,48308900
2022-06-22,162.259995,166.619995,161.800003,163.600006,163.464874,43713500
2022-06-23,165.190002,165.850006,158.529999,162.250000,162.116013,46368000
2022-06-24,165.000000,171.399994,163.100006,171.259995,171.118546,47215300
2022-06-27,173.119995,173.300003,166.259995,168.690002,168.550690,42796800
2022-06-28,169.000000,172.020004,159.449997,159.820007,159.688004,46114900
2022-06-29,158.139999,158.199997,151.699997,155.419998,155.291641,48235200
2022-06-30,153.610001,155.669998,148.619995,151.589996,151.464798,68607000
2022-07-01,148.990005,150.630005,143.919998,145.229996,145.110062,57761000
2022-07-05,141.750000,149.710007,140.550003,149.639999,149.516418,65139700
2022-07-06,150.100006,153.190002,147.889999,151.300003,151.175049,52906600
2022-07-07,154.559998,159.449997,153.889999,158.580002,158.449020,49290300
2022-07-08,154.300003,160.369995,153.889999,158.380005,158.249207,46797200
2022-07-11,155.259995,155.270004,150.380005,151.520004,151.394867,43732100
2022-07-12,152.679993,154.309998,148.770004,150.820007,150.695450,45848300
2022-07-13,145.899994,153.750000,144.649994,151.639999,151.514740,52191800
2022-07-14,151.080002,154.729996,147.279999,153.720001,153.593048,45623500
2022-07-15,156.589996,157.820007,154.449997,157.619995,157.489822,38593500
2022-07-18,163.020004,168.970001,160.020004,161.009995,160.877014,67051700
2022-07-19,164.860001,171.100006,161.720001,169.919998,169.779663,70236600
2022-07-20,169.470001,179.330002,168.009995,178.070007,177.922943,76053800
2022-07-21,178.850006,181.440002,175.449997,180.500000,180.350922,55704900
2022-07-22,178.929993,179.669998,171.369995,173.190002,173.046967,53667100
2022-07-25,170.190002,171.240005,166.490005,170.240005,170.099396,48074800
2022-07-26,168.889999,169.190002,164.779999,165.330002,165.193466,39786500
2022-07-27,170.320007,179.360001,169.130005,177.899994,177.753052,56977600
2022-07-28,179.750000,181.399994,174.399994,179.839996,179.691467,47464600
2022-07-29,178.130005,182.440002,176.919998,181.630005,181.479996,43546000
2022-08-01,181.820007,188.460007,179.899994,184.410004,184.257690,47646900
2022-08-02,181.220001,189.380005,180.919998,185.259995,185.106995,48952700
2022-08-03,181.839996,189.679993,181.369995,188.929993,188.773956,41814600
2022-08-04,188.490005,192.740005,187.600006,192.149994,191.991318,40965200
2022-08-05,188.100006,192.289993,186.660004,189.889999,189.733185,38606800
2022-08-08,175.020004,182.389999,172.419998,177.929993,177.783051,98185900
2022-08-09,172.520004,174.470001,167.240005,170.860001,170.718887,66826300
2022-08-10,176.979996,181.179993,173.169998,180.970001,180.820541,59742200
2022-08-11,181.309998,187.070007,178.759995,179.419998,179.271820,50932700
2022-08-12,181.600006,187.179993,179.529999,187.089996,186.935486,47809400
2022-08-15,187.009995,191.639999,186.130005,190.320007,190.162811,45766600
2022-08-16,189.199997,191.419998,185.009995,188.789993,188.634079,45124000
2022-08-17,185.229996,186.880005,181.449997,183.350006,183.198593,44679900
2022-08-18,183.009995,188.649994,181.830002,187.729996,187.574966,41544700
2022-08-19,184.059998,185.199997,177.699997,178.490005,178.342606,44158800
2022-08-22,174.899994,175.580002,169.660004,170.339996,170.199310,40959300
2022-08-23,169.889999,174.649994,169.699997,171.809998,171.668121,36998600
2022-08-24,170.119995,174.059998,168.949997,172.220001,172.077774,52266100
2022-08-25,168.440002,179.470001,168.330002,179.130005,178.982056,77069100
2022-08-26,178.570007,179.240005,162.369995,162.600006,162.465714,76912700
2022-08-29,160.199997,163.380005,157.669998,158.009995,157.879501,49613200
2022-08-30,159.600006,160.389999,151.820007,154.679993,154.552261,53018100
2022-08-31,153.839996,155.399994,149.589996,150.940002,150.815338,57371000
2022-09-01,142.089996,143.800003,132.699997,139.369995,139.254898,117886500
2022-09-02,141.000000,141.710007,135.910004,136.470001,136.357300,74315700
2022-09-06,137.309998,137.789993,133.509995,134.649994,134.538788,53575100
2022-09-07,135.630005,138.380005,133.460007,137.139999,137.067459,51265700
2022-09-08,134.589996,140.080002,133.690002,139.899994,139.825989,62487300
2022-09-09,141.570007,144.740005,141.259995,143.869995,143.793900,48661200
2022-09-12,143.690002,145.470001,141.979996,145.050003,144.973282,48415900
2022-09-13,138.020004,139.220001,130.990005,131.309998,131.240540,71495600
