Date,Open,High,Low,Close,Adj Close,Volume
2022-09-28,236.809998,242.330002,234.729996,241.070007,239.268875,29029700
2022-09-29,238.889999,239.949997,234.410004,237.500000,235.725540,27484200
2022-09-30,238.289993,240.539993,232.729996,232.899994,231.159897,35694800
2022-10-03,235.410004,241.610001,234.660004,240.740005,238.941345,28880400
2022-10-04,245.089996,250.360001,244.979996,248.880005,247.020538,34888400
2022-10-05,245.990005,250.580002,244.100006,249.199997,247.338120,20347100
2022-10-06,247.929993,250.339996,246.080002,246.789993,244.946136,20239900
2022-10-07,240.899994,241.320007,233.169998,234.240005,232.489899,37769600
2022-10-10,233.050003,234.559998,226.729996,229.250000,227.537186,29743600
2022-10-11,227.619995,229.059998,224.110001,225.410004,223.725876,30474000
2022-10-12,225.399994,227.860001,223.960007,225.750000,224.063339,21903900
2022-10-13,219.850006,236.100006,219.130005,234.240005,232.489899,42551800
2022-10-14,235.539993,237.240005,228.339996,228.559998,226.852325,30198600
2022-10-17,235.820007,238.960007,235.139999,237.529999,235.755310,28142300
2022-10-18,243.240005,243.929993,235.369995,238.500000,236.718063,26329600
2022-10-19,237.039993,239.610001,234.289993,236.479996,234.713165,19985700
2022-10-20,235.770004,241.309998,234.869995,236.149994,234.385620,21811000
2022-10-21,234.740005,243.000000,234.500000,242.119995,240.311035,26299700
2022-10-24,243.759995,247.839996,241.300003,247.250000,245.402695,24911200
2022-10-25,247.259995,251.039993,245.830002,250.660004,248.787216,34775500
2022-10-26,231.169998,238.300003,230.059998,231.320007,229.591721,82543200
2022-10-27,231.039993,233.690002,225.779999,226.750000,225.055847,40424600
2022-10-28,226.240005,236.600006,226.050003,235.869995,234.107712,40647700
2022-10-31,233.759995,234.919998,231.149994,232.130005,230.395660,28357300
2022-11-01,234.600006,235.740005,227.330002,228.169998,226.465256,30592300
2022-11-02,229.460007,231.300003,220.039993,220.100006,218.455551,38407000
2022-11-03,220.089996,220.410004,213.979996,214.250000,212.649261,36633900
2022-11-04,217.550003,221.589996,213.429993,221.389999,219.735916,36789100
2022-11-07,221.990005,228.410004,221.279999,227.869995,226.167496,33498000
2022-11-08,228.699997,231.649994,225.839996,228.869995,227.160019,28192500
2022-11-09,227.369995,228.630005,224.330002,224.509995,222.832596,27852900
2022-11-10,235.429993,243.330002,235.000000,242.979996,241.164597,46268000
2022-11-11,242.990005,247.990005,241.929993,247.110001,245.263748,34620200
2022-11-14,241.990005,243.910004,239.210007,241.550003,239.745285,31123300
2022-11-15,245.660004,247.000000,240.029999,241.970001,240.162140,31390100
2022-11-16,242.789993,243.800003,240.419998,241.729996,240.600082,24093300
2022-11-17,237.779999,243.250000,237.630005,241.679993,240.550308,23123500
2022-11-18,243.509995,243.740005,239.029999,241.220001,240.092468,27613500
2022-11-21,241.429993,244.669998,241.190002,242.050003,240.918594,26394700
2022-11-22,243.589996,245.309998,240.710007,245.029999,243.884659,19665700
2022-11-23,245.110001,248.279999,244.270004,247.580002,246.422745,19508500
2022-11-25,247.309998,248.699997,246.729996,247.490005,246.333160,9200800
2022-11-28,246.080002,246.649994,240.800003,241.759995,240.629944,24778200
2022-11-29,241.399994,242.789993,238.210007,240.330002,239.206635,17956300
2022-11-30,240.570007,255.330002,239.860001,255.139999,253.947403,47594200
2022-12-01,253.869995,256.119995,250.919998,254.690002,253.499496,26041500
2022-12-02,249.820007,256.059998,249.690002,255.020004,253.827957,21528500
2022-12-05,252.009995,253.820007,248.059998,250.199997,249.030487,23435300
2022-12-06,250.820007,251.860001,243.779999,245.119995,243.974228,22463700
2022-12-07,244.830002,246.160004,242.210007,244.369995,243.227737,20481500
2022-12-08,244.839996,248.740005,243.059998,247.399994,246.243576,22611800
2022-12-09,244.699997,248.309998,244.160004,245.419998,244.272827,20609700
2022-12-12,247.449997,252.539993,247.169998,252.509995,251.329681,30665100
2022-12-13,261.690002,263.920013,253.070007,256.920013,255.719086,42196900
2022-12-14,257.130005,262.589996,254.309998,257.220001,256.017700,35410900
2022-12-15,253.720001,254.199997,247.339996,249.009995,247.846054,35560400
2022-12-16,248.550003,249.839996,243.509995,244.690002,243.546249,86102000
2022-12-19,244.860001,245.210007,238.710007,240.449997,239.326065,29696400
2022-12-20,239.399994,242.910004,238.419998,241.800003,240.669754,25150800
2022-12-21,241.690002,245.619995,240.110001,244.429993,243.287445,23690600
2022-12-22,241.259995,241.990005,233.869995,238.190002,237.076630,28651700
2022-12-23,236.110001,238.869995,233.940002,238.729996,237.614105,21207000
2022-12-27,238.699997,238.929993,235.830002,236.960007,235.852386,16688600
2022-12-28,236.889999,239.720001,234.169998,234.529999,233.433731,17457100
2022-12-29,235.649994,241.919998,235.649994,241.009995,239.883438,19770700
2022-12-30,238.210007,239.960007,236.660004,239.820007,238.699020,21938500
2023-01-03,243.080002,245.750000,237.399994,239.580002,238.460144,25740000
2023-01-04,232.279999,232.869995,225.960007,229.100006,228.029129,50623400
2023-01-05,227.199997,227.550003,221.759995,222.309998,221.270844,39585600
2023-01-06,223.000000,225.759995,219.350006,224.929993,223.878601,43613600
2023-01-09,226.449997,231.240005,226.410004,227.119995,226.058380,27369800
2023-01-10,227.759995,231.309998,227.330002,228.850006,227.780289,27033900
2023-01-11,231.289993,235.949997,231.110001,235.770004,234.667938,28669300
2023-01-12,235.259995,239.899994,233.559998,238.509995,237.395126,27269500
2023-01-13,237.000000,239.369995,234.919998,239.229996,238.111771,21333300
2023-01-17,237.970001,240.910004,237.089996,240.350006,239.226547,29831300
2023-01-18,241.570007,242.380005,235.520004,235.809998,234.707748,30028700
2023-01-19,233.779999,235.520004,230.679993,231.929993,230.845886,28623000
2023-01-20,234.860001,240.740005,234.509995,240.220001,239.097153,35389800
2023-01-23,241.100006,245.169998,239.649994,242.580002,241.446106,31934000
2023-01-24,242.500000,243.949997,240.440002,242.039993,240.908630,40234400
2023-01-25,234.479996,243.300003,230.899994,240.610001,239.485321,66526600
2023-01-26,243.649994,248.309998,242.000000,248.000000,246.840775,33454500
2023-01-27,248.990005,249.830002,246.830002,248.160004,247.000031,26498900
2023-01-30,244.509995,245.600006,242.199997,242.710007,241.575516,25867400
2023-01-31,243.449997,247.949997,242.949997,247.809998,246.651657,26541100
2023-02-01,248.000000,255.179993,245.470001,252.750000,251.568573,31259900
2023-02-02,258.820007,264.690002,257.250000,264.600006,263.363190,39940400
2023-02-03,259.540009,264.200012,257.100006,258.350006,257.142395,29077300
2023-02-06,257.440002,258.299988,254.779999,256.769989,255.569763,22518000
2023-02-07,260.529999,268.769989,260.079987,267.559998,266.309357,50841400
2023-02-08,273.200012,276.760010,266.209991,266.730011,265.483246,54686000
2023-02-09,273.799988,273.980011,262.799988,263.619995,262.387756,42375100
2023-02-10,261.529999,264.089996,260.660004,263.100006,261.870209,25818500
2023-02-13,267.640015,274.600006,267.149994,271.320007,270.051758,44630900
2023-02-14,272.670013,274.970001,269.279999,272.170013,270.897827,37047900
2023-02-15,268.320007,270.730011,266.179993,269.320007,268.732544,28922400
2023-02-16,264.019989,266.739990,261.899994,262.149994,261.578156,29603600
2023-02-17,259.390015,260.089996,256.000000,258.059998,257.497101,30000100
2023-02-21,254.479996,255.490005,251.589996,252.669998,252.118851,28397400
2023-02-22,254.089996,254.339996,250.339996,251.509995,250.961380,22491100
2023-02-23,255.559998,256.839996,250.479996,254.770004,254.214279,29219100
2023-02-24,249.960007,251.000000,248.100006,249.220001,248.676376,24990900
2023-02-27,252.460007,252.820007,249.389999,250.160004,249.614334,21190000
2023-02-28,249.070007,251.490005,248.729996,249.419998,248.875946,22491000
2023-03-01,250.759995,250.929993,245.789993,246.270004,245.732819,27565300
2023-03-02,246.550003,251.399994,245.610001,251.110001,250.562256,24808200
2023-03-03,252.190002,255.619995,251.389999,255.289993,254.733124,30760100
